ProductID	Product	Subcategory	Category	Color	Description
FR-R72Y-40	"ML Road Frame-W - Yellow, 40"	Road Frames	Components	Yellow	"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
FR-R72Y-42	"ML Road Frame-W - Yellow, 42"	Road Frames	Components	Yellow	"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
FR-R72Y-44	"ML Road Frame-W - Yellow, 44"	Road Frames	Components	Yellow	"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
FR-R72Y-48	"ML Road Frame-W - Yellow, 48"	Road Frames	Components	Yellow	"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
FR-R92B-44	"HL Road Frame - Black, 44"	Road Frames	Components	Black	Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92B-48	"HL Road Frame - Black, 48"	Road Frames	Components	Black	Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92B-52	"HL Road Frame - Black, 52"	Road Frames	Components	Black	Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92B-58	"HL Road Frame - Black, 58"	Road Frames	Components	Black	Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92B-62	"HL Road Frame - Black, 62"	Road Frames	Components	Black	Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92R-44	"HL Road Frame - Red, 44"	Road Frames	Components	Red	Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92R-48	"HL Road Frame - Red, 48"	Road Frames	Components	Red	Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92R-52	"HL Road Frame - Red, 52"	Road Frames	Components	Red	Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92R-56	"HL Road Frame - Red, 56"	Road Frames	Components	Red	Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92R-58	"HL Road Frame - Red, 58"	Road Frames	Components	Red	Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-R92R-62	"HL Road Frame - Red, 62"	Road Frames	Components	Red	Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.
FR-T67U-44	"LL Touring Frame - Blue, 44"	Touring Frames	Components	Blue	Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67U-50	"LL Touring Frame - Blue, 50"	Touring Frames	Components	Blue	Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67U-54	"LL Touring Frame - Blue, 54"	Touring Frames	Components	Blue	Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67U-58	"LL Touring Frame - Blue, 58"	Touring Frames	Components	Blue	Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67U-62	"LL Touring Frame - Blue, 62"	Touring Frames	Components	Blue	Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67Y-44	"LL Touring Frame - Yellow, 44"	Touring Frames	Components	Yellow	Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67Y-50	"LL Touring Frame - Yellow, 50"	Touring Frames	Components	Yellow	Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67Y-54	"LL Touring Frame - Yellow, 54"	Touring Frames	Components	Yellow	Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67Y-58	"LL Touring Frame - Yellow, 58"	Touring Frames	Components	Yellow	Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T67Y-62	"LL Touring Frame - Yellow, 62"	Touring Frames	Components	Yellow	Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
FR-T98U-46	"HL Touring Frame - Blue, 46"	Touring Frames	Components	Blue	The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98U-50	"HL Touring Frame - Blue, 50"	Touring Frames	Components	Blue	The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98U-54	"HL Touring Frame - Blue, 54"	Touring Frames	Components	Blue	The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98U-60	"HL Touring Frame - Blue, 60"	Touring Frames	Components	Blue	The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98Y-46	"HL Touring Frame - Yellow, 46"	Touring Frames	Components	Yellow	The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98Y-50	"HL Touring Frame - Yellow, 50"	Touring Frames	Components	Yellow	The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98Y-54	"HL Touring Frame - Yellow, 54"	Touring Frames	Components	Yellow	The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FR-T98Y-60	"HL Touring Frame - Yellow, 60"	Touring Frames	Components	Yellow	The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
FW-M423	LL Mountain Front Wheel	Wheels	Components	Black	Replacement mountain wheel for entry-level rider.
FW-M762	ML Mountain Front Wheel	Wheels	Components	Black	Replacement mountain wheel for the casual to serious rider.
FW-M928	HL Mountain Front Wheel	Wheels	Components	Black	High-performance mountain replacement wheel.
FW-R623	LL Road Front Wheel	Wheels	Components	Black	Replacement road front wheel for entry-level cyclist.
FW-R762	ML Road Front Wheel	Wheels	Components	Black	Sturdy alloy features a quick-release hub.
FW-R820	HL Road Front Wheel	Wheels	Components	Black	Strong wheel with double-walled rim.
FW-T905	Touring Front Wheel	Wheels	Components	Black	Aerodynamic rims for smooth riding.
GL-F110-L	"Full-Finger Gloves, L"	Gloves	Clothing	Black	"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders."
GL-F110-M	"Full-Finger Gloves, M"	Gloves	Clothing	Black	"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders."
GL-F110-S	"Full-Finger Gloves, S"	Gloves	Clothing	Black	"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders."
GL-H102-L	"Half-Finger Gloves, L"	Gloves	Clothing	Black	"Full padding, improved finger flex, durable palm, adjustable closure."
GL-H102-M	"Half-Finger Gloves, M"	Gloves	Clothing	Black	"Full padding, improved finger flex, durable palm, adjustable closure."
GL-H102-S	"Half-Finger Gloves, S"	Gloves	Clothing	Black	"Full padding, improved finger flex, durable palm, adjustable closure."
HB-M243	LL Mountain Handlebars	Handlebars	Components	NA	All-purpose bar for on or off-road.
HB-M763	ML Mountain Handlebars	Handlebars	Components	NA	Tough aluminum alloy bars for downhill.
HB-M918	HL Mountain Handlebars	Handlebars	Components	NA	Flat bar strong enough for the pro circuit.
HB-R504	LL Road Handlebars	Handlebars	Components	NA	Unique shape provides easier reach to the levers.
HB-R720	ML Road Handlebars	Handlebars	Components	NA	Anatomically shaped aluminum tube bar will suit all riders.
HB-R956	HL Road Handlebars	Handlebars	Components	NA	Designed for racers; high-end anatomically shaped bar from aluminum alloy.
HB-T721	LL Touring Handlebars	Handlebars	Components	NA	Unique shape reduces fatigue for entry level riders.
HB-T928	HL Touring Handlebars	Handlebars	Components	NA	A light yet stiff aluminum bar for long distance riding.
HL-U509	"Sport-100 Helmet, Black"	Helmets	Accessories	Black	"Universal fit, well-vented, lightweight , snap-on visor."
HL-U509-B	"Sport-100 Helmet, Blue"	Helmets	Accessories	Blue	"Universal fit, well-vented, lightweight , snap-on visor."
HL-U509-R	"Sport-100 Helmet, Red"	Helmets	Accessories	Red	"Universal fit, well-vented, lightweight , snap-on visor."
HS-0296	LL Headset	Headsets	Components	NA	Threadless headset provides quality at an economical price.
HS-2451	ML Headset	Headsets	Components	NA	Sealed cartridge keeps dirt out.
HS-3479	HL Headset	Headsets	Components	NA	"High-quality 1"" threadless headset with a grease port for quick lubrication."
HY-1023-70	Hydration Pack - 70 oz.	Hydration Packs	Accessories	Silver	"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt."
LJ-0192-L	"Long-Sleeve Logo Jersey, L"	Jerseys	Clothing	Multi	Unisex long-sleeve AWC logo microfiber cycling jersey
LJ-0192-M	"Long-Sleeve Logo Jersey, M"	Jerseys	Clothing	Multi	Unisex long-sleeve AWC logo microfiber cycling jersey
LJ-0192-S	"Long-Sleeve Logo Jersey, S"	Jerseys	Clothing	Multi	Unisex long-sleeve AWC logo microfiber cycling jersey
LJ-0192-X	"Long-Sleeve Logo Jersey, XL"	Jerseys	Clothing	Multi	Unisex long-sleeve AWC logo microfiber cycling jersey
LO-C100	Cable Lock	Locks	Accessories	NA	"Wraps to fit front and rear tires, carrier and 2 keys included."
LT-H902	Headlights - Dual-Beam	Lights	Accessories	NA	Rechargeable dual-beam headlight.
LT-H903	Headlights - Weatherproof	Lights	Accessories	NA	Rugged weatherproof headlight.
LT-T990	Taillights - Battery-Powered	Lights	Accessories	NA	Affordable light for safe night riding - uses 3 AAA batteries
PA-T100	"Touring-Panniers, Large"	Panniers	Accessories	Grey	"Durable, water-proof nylon construction with easy access. Large enough for weekend trips."
PD-M282	LL Mountain Pedal	Pedals	Components	Silver/Black	Expanded platform so you can ride in any shoes; great for all-around riding.
PD-M340	ML Mountain Pedal	Pedals	Components	Silver/Black	"Lightweight, durable, clipless pedal with adjustable tension."
PD-M562	HL Mountain Pedal	Pedals	Components	Silver/Black	Stainless steel; designed to shed mud easily.
PD-R347	LL Road Pedal	Pedals	Components	Silver/Black	Clipless pedals - aluminum.
PD-R563	ML Road Pedal	Pedals	Components	Silver/Black	Lightweight aluminum alloy construction.
PD-R853	HL Road Pedal	Pedals	Components	Silver/Black	Top-of-the-line clipless pedals with adjustable tension.
PD-T852	Touring Pedal	Pedals	Components	Silver/Black	A stable pedal for all-day riding.
PK-7098	Patch Kit/8 Patches	Tires and Tubes	Accessories	NA	"Includes 8 different size patches, glue and sandpaper."
PU-0452	Minipump	Pumps	Accessories	NA	Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.
PU-M044	Mountain Pump	Pumps	Accessories	NA	Simple and light-weight. Emergency patches stored in handle.
RA-H123	Hitch Rack - 4-Bike	Bike Racks	Accessories	NA	"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch."
RB-9231	Rear Brakes	Brakes	Components	Silver	
RD-2308	Rear Derailleur	Derailleurs	Components	Silver	Wide-link design.
RW-M423	LL Mountain Rear Wheel	Wheels	Components	Black	Replacement mountain wheel for entry-level rider.
RW-M762	ML Mountain Rear Wheel	Wheels	Components	Black	Replacement mountain wheel for the casual to serious rider.
RW-M928	HL Mountain Rear Wheel	Wheels	Components	Black	High-performance mountain replacement wheel.
RW-R623	LL Road Rear Wheel	Wheels	Components	Black	Replacement road rear wheel for entry-level cyclist.
RW-R762	ML Road Rear Wheel	Wheels	Components	Black	Aluminum alloy rim with stainless steel spokes; built for speed.
RW-R820	HL Road Rear Wheel	Wheels	Components	Black	Strong rear wheel with double-walled rim.
RW-T905	Touring Rear Wheel	Wheels	Components	Black	Excellent aerodynamic rims guarantee a smooth ride.
SB-M891-L	"Men's Bib-Shorts, L"	Bib-Shorts	Clothing	Multi	"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers."
SB-M891-M	"Men's Bib-Shorts, M"	Bib-Shorts	Clothing	Multi	"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers."
SB-M891-S	"Men's Bib-Shorts, S"	Bib-Shorts	Clothing	Multi	"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers."
SE-M236	LL Mountain Seat/Saddle	Saddles	Components	NA	Synthetic leather. Features gel for increased comfort.
SE-M798	ML Mountain Seat/Saddle	Saddles	Components	NA	Designed to absorb shock.
SE-M940	HL Mountain Seat/Saddle	Saddles	Components	NA	Anatomic design for a full-day of riding in comfort. Durable leather.
SE-R581	LL Road Seat/Saddle	Saddles	Components	NA	Lightweight foam-padded saddle.
SE-R908	ML Road Seat/Saddle	Saddles	Components	NA	Rubber bumpers absorb bumps.
SE-R995	HL Road Seat/Saddle	Saddles	Components	NA	Lightweight kevlar racing saddle. Leather.
SE-T312	LL Touring Seat/Saddle	Saddles	Components	NA	"Comfortable, ergonomically shaped gel saddle."
SE-T762	ML Touring Seat/Saddle	Saddles	Components	NA	New design relieves pressure for long rides.
SE-T924	HL Touring Seat/Saddle	Saddles	Components	NA	Cut-out shell for a more comfortable ride.
SH-M897-L	"Men's Sports Shorts, L"	Shorts	Clothing	Black	Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.
SH-M897-M	"Men's Sports Shorts, M"	Shorts	Clothing	Black	Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.
SH-M897-S	"Men's Sports Shorts, S"	Shorts	Clothing	Black	Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.
SH-M897-X	"Men's Sports Shorts, XL"	Shorts	Clothing	Black	Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.
SH-W890-L	"Women's Mountain Shorts, L"	Shorts	Clothing	Black	"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort."
SH-W890-M	"Women's Mountain Shorts, M"	Shorts	Clothing	Black	"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort."
SH-W890-S	"Women's Mountain Shorts, S"	Shorts	Clothing	Black	"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort."
SJ-0194-L	"Short-Sleeve Classic Jersey, L"	Jerseys	Clothing	Yellow	"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets."
SJ-0194-M	"Short-Sleeve Classic Jersey, M"	Jerseys	Clothing	Yellow	"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets."
SJ-0194-S	"Short-Sleeve Classic Jersey, S"	Jerseys	Clothing	Yellow	"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets."
SJ-0194-X	"Short-Sleeve Classic Jersey, XL"	Jerseys	Clothing	Yellow	"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets."
SO-B909-L	"Mountain Bike Socks, L"	Socks	Clothing	White	Combination of natural and synthetic fibers stays dry and provides just the right cushioning.
SO-B909-M	"Mountain Bike Socks, M"	Socks	Clothing	White	Combination of natural and synthetic fibers stays dry and provides just the right cushioning.
SO-R809-L	"Racing Socks, L"	Socks	Clothing	White	"Thin, lightweight and durable with cuffs that stay up."
SO-R809-M	"Racing Socks, M"	Socks	Clothing	White	"Thin, lightweight and durable with cuffs that stay up."
ST-1401	All-Purpose Bike Stand	Bike Stands	Accessories	NA	Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.
TG-W091-L	"Women's Tights, L"	Tights	Clothing	Black	Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.
TG-W091-M	"Women's Tights, M"	Tights	Clothing	Black	Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.
TG-W091-S	"Women's Tights, S"	Tights	Clothing	Black	Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.
TI-M267	LL Mountain Tire	Tires and Tubes	Accessories	NA	"Comparible traction, less expensive wire bead casing."
TI-M602	ML Mountain Tire	Tires and Tubes	Accessories	NA	"Great traction, high-density rubber."
TI-M823	HL Mountain Tire	Tires and Tubes	Accessories	NA	"Incredible traction, lightweight carbon reinforced."
TI-R092	LL Road Tire	Tires and Tubes	Accessories	NA	Same great treads as more expensive tire with a less expensive wire bead casing.
TI-R628	ML Road Tire	Tires and Tubes	Accessories	NA	Higher density rubber.
TI-R982	HL Road Tire	Tires and Tubes	Accessories	NA	Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.
TI-T723	Touring Tire	Tires and Tubes	Accessories	NA	High-density rubber.
TT-M928	Mountain Tire Tube	Tires and Tubes	Accessories	NA	Self-sealing tube.
TT-R982	Road Tire Tube	Tires and Tubes	Accessories	NA	Conventional all-purpose tube.
TT-T092	Touring Tire Tube	Tires and Tubes	Accessories	NA	General purpose tube.
VE-C304-L	"Classic Vest, L"	Vests	Clothing	Blue	"Light-weight, wind-resistant, packs to fit into a pocket."
VE-C304-M	"Classic Vest, M"	Vests	Clothing	Blue	"Light-weight, wind-resistant, packs to fit into a pocket."
VE-C304-S	"Classic Vest, S"	Vests	Clothing	Blue	"Light-weight, wind-resistant, packs to fit into a pocket."
WB-H098	Water Bottle - 30 oz.	Bottles and Cages	Accessories	NA	AWC logo water bottle - holds 30 oz; leak-proof.
